year,fear,ideology,insurgent,qaeda,reign,terror,terrorism,terrorization,violence
1983.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
1983.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1983.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1983.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1983.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1983.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1983.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
1983.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,3.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,2.0
1983.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1983.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1983.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
1983.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1983.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
